sport_licence,niveau_etude,region,smoker,revenu_estime_mois,situation_familiale,historique_credits,risque_personnel,score_credit,loyer_mensuel,montant_pret,age_group
non,aucun,regions_tertiaires,oui,3269,célibataire,,0.45,,,500.0,18-29
non,bac+2,regions_tertiaires,oui,500,veuf,2.0,0.22,,,500.0,60+
oui,master,region_parisienne,oui,2802,marié,,0.01,,5000.0,21691.867312082977,45-59
oui,bac+2,regions_touristiques_services,non,832,marié,,0.51,689.0,,23167.904430812967,45-59
non,doctorat,region_parisienne,oui,4635,célibataire,5.0,0.8,,10000.0,1986.2237285384024,30-44
oui,master,Provence-Alpes-Côte d’Azur,non,500,divorcé,4.0,0.96,,10000.0,500.0,45-59
non,aucun,regions_industrielles,oui,900,,3.0,0.14,,,500.0,18-29
oui,bac,Provence-Alpes-Côte d’Azur,oui,3853,marié,2.0,0.4,656.0,10000.0,500.0,45-59
non,master,Provence-Alpes-Côte d’Azur,non,2203,marié,,0.8,,866.27,16750.901381517804,45-59
non,doctorat,regions_touristiques_services,non,1672,célibataire,5.0,0.12,620.0,,500.0,60+
non,master,regions_touristiques_services,non,2267,,,0.12,818.0,10000.0,27822.25265661032,60+
oui,aucun,regions_touristiques_services,non,2350,,4.0,0.08,,10000.0,12238.402238366429,30-44
oui,master,region_parisienne,non,2182,marié,3.0,0.02,,10000.0,18547.59442206578,18-29
oui,bac,Provence-Alpes-Côte d’Azur,oui,923,veuf,3.0,0.57,,,500.0,30-44
non,master,regions_industrielles,oui,2214,,3.0,0.86,464.0,10000.0,500.0,45-59
non,bac,regions_touristiques_services,non,1959,,5.0,0.5,,5000.0,500.0,45-59
non,bac,regions_touristiques_services,oui,2687,célibataire,,0.65,,5000.0,500.0,18-29
oui,aucun,regions_touristiques_services,non,1788,marié,,0.9,461.0,10000.0,500.0,18-29
oui,master,regions_touristiques_services,non,2125,divorcé,,0.93,786.0,10000.0,500.0,30-44
non,bac+2,region_parisienne,oui,1389,célibataire,1.0,0.6,,793.17,1366.7152302536567,18-29
oui,aucun,regions_touristiques_services,oui,2850,marié,,0.89,,10000.0,500.0,30-44
oui,master,regions_touristiques_services,oui,1809,veuf,4.0,0.28,763.0,5000.0,500.0,18-29
oui,master,regions_touristiques_services,oui,4370,marié,,0.15,804.0,10000.0,7915.101090898372,18-29
oui,master,regions_tertiaires,oui,4778,,0.0,0.4,,,28396.908742389693,18-29
non,doctorat,region_parisienne,oui,725,veuf,,0.8,,10000.0,18632.93584235897,60+
non,aucun,region_parisienne,oui,2124,célibataire,,0.53,511.0,5000.0,500.0,18-29
non,bac,regions_tertiaires,non,3422,,,0.6,640.0,,14326.37709078331,45-59
non,bac,regions_industrielles,oui,3838,,2.0,0.5,,5000.0,500.0,45-59
oui,aucun,regions_industrielles,oui,660,célibataire,,0.64,499.0,,500.0,18-29
non,master,region_parisienne,non,2071,veuf,3.0,0.6,,10000.0,16528.519173978777,60+
oui,aucun,regions_touristiques_services,oui,2714,marié,,0.88,734.0,10000.0,4704.9737016730005,60+
oui,bac,regions_touristiques_services,non,2783,veuf,1.0,0.83,357.0,577.66,12733.330382969947,30-44
non,bac,regions_touristiques_services,oui,1788,divorcé,,0.56,726.0,5000.0,10540.674784050036,45-59
oui,master,regions_industrielles,oui,2600,divorcé,5.0,0.98,,5000.0,6156.501558240514,30-44
non,doctorat,regions_touristiques_services,oui,3008,célibataire,4.0,0.05,484.0,,500.0,18-29
oui,bac+2,Provence-Alpes-Côte d’Azur,oui,500,célibataire,0.0,0.4,805.0,5000.0,500.0,18-29
oui,doctorat,regions_industrielles,oui,3695,marié,,0.17,777.0,5000.0,22775.8955135935,18-29
oui,doctorat,regions_industrielles,oui,3304,marié,,0.28,497.0,5000.0,8853.723228062805,60+
oui,bac+2,regions_touristiques_services,oui,897,célibataire,,0.05,,5000.0,11778.343548052928,30-44
oui,master,region_parisienne,non,4278,célibataire,5.0,0.7,455.0,10000.0,31072.702663736723,60+
non,master,Provence-Alpes-Côte d’Azur,non,3072,célibataire,,0.56,373.0,,21531.409941811824,30-44
non,aucun,regions_touristiques_services,oui,2537,divorcé,0.0,0.97,,10000.0,500.0,30-44
non,master,regions_touristiques_services,non,4525,veuf,2.0,0.81,761.0,949.24,10946.391315339892,30-44
non,master,regions_tertiaires,non,1295,veuf,,0.52,,,500.0,18-29
oui,doctorat,regions_touristiques_services,oui,1859,célibataire,4.0,0.02,,547.03,500.0,60+
oui,bac+2,regions_industrielles,oui,1566,célibataire,5.0,0.28,418.0,,1992.4825524566772,30-44
oui,bac,Provence-Alpes-Côte d’Azur,oui,3929,marié,5.0,0.4,506.0,,15002.912094814255,45-59
oui,aucun,regions_tertiaires,oui,3770,divorcé,,0.4,,,500.0,30-44
oui,aucun,regions_touristiques_services,oui,4747,marié,,0.12,400.0,5000.0,500.0,60+
non,master,regions_tertiaires,oui,3214,marié,2.0,0.82,402.0,,10488.968596578909,30-44
oui,doctorat,Provence-Alpes-Côte d’Azur,oui,4602,divorcé,,0.36,,,28770.26971420019,60+
non,bac+2,regions_touristiques_services,non,3203,veuf,,0.12,440.0,944.44,500.0,45-59
non,doctorat,regions_touristiques_services,non,3865,célibataire,3.0,0.52,,1128.66,37282.162849122215,60+
oui,aucun,regions_tertiaires,non,1851,marié,2.0,0.67,,348.33,10767.439217607673,45-59
oui,master,regions_touristiques_services,non,1598,marié,,0.39,321.0,10000.0,24759.669493278125,60+
non,aucun,regions_tertiaires,non,1770,veuf,3.0,0.83,352.0,185.52,4161.441442592443,45-59
oui,master,regions_tertiaires,non,1083,marié,4.0,0.49,,10000.0,20879.755904736496,30-44
non,doctorat,regions_industrielles,oui,3127,,,0.17,,5000.0,14801.426364952236,60+
oui,bac,regions_tertiaires,oui,3041,marié,1.0,0.66,,627.58,11145.183005926978,30-44
oui,doctorat,regions_touristiques_services,oui,2741,divorcé,0.0,0.6,573.0,,500.0,30-44
oui,doctorat,regions_tertiaires,oui,3059,veuf,2.0,0.69,,,28698.200373046937,45-59
oui,aucun,regions_industrielles,oui,2663,,2.0,0.51,843.0,748.46,500.0,18-29
non,doctorat,regions_touristiques_services,oui,3361,marié,,0.65,,10000.0,16872.53990370362,45-59
non,doctorat,regions_tertiaires,oui,2530,divorcé,,0.7,454.0,10000.0,500.0,30-44
oui,doctorat,regions_touristiques_services,non,2660,veuf,,0.53,837.0,926.62,37114.160550787055,30-44
oui,doctorat,regions_tertiaires,non,500,,4.0,0.97,718.0,559.26,29358.17769561137,45-59
oui,aucun,regions_touristiques_services,oui,2023,marié,0.0,0.89,,1032.32,500.0,18-29
non,bac+2,regions_touristiques_services,non,904,marié,5.0,0.29,561.0,1065.43,6712.726721442828,60+
non,doctorat,region_parisienne,non,568,veuf,4.0,0.51,,10000.0,500.0,30-44
non,bac,Provence-Alpes-Côte d’Azur,oui,3624,veuf,0.0,0.21,,1073.5,500.0,18-29
oui,master,regions_touristiques_services,non,2285,marié,,0.07,,5000.0,24341.03004691129,18-29
non,master,region_parisienne,oui,1823,veuf,0.0,0.26,,5000.0,9958.305010076558,60+
oui,aucun,regions_tertiaires,non,2040,,3.0,0.29,521.0,10000.0,15699.8867602253,30-44
non,aucun,regions_touristiques_services,oui,1059,célibataire,,0.72,,-19.16,500.0,18-29
non,bac+2,regions_tertiaires,non,2321,marié,1.0,0.53,,5000.0,15785.751255071553,30-44
oui,master,Provence-Alpes-Côte d’Azur,oui,5481,divorcé,,0.08,307.0,5000.0,22240.901666635506,18-29
oui,bac,regions_touristiques_services,oui,3627,veuf,,0.77,,,500.0,18-29
non,bac+2,Provence-Alpes-Côte d’Azur,non,1216,divorcé,1.0,0.79,,5000.0,11292.029477601953,60+
oui,bac,regions_tertiaires,oui,1731,divorcé,2.0,0.25,,5000.0,4529.690297241665,18-29
non,aucun,regions_touristiques_services,non,4762,,4.0,0.03,396.0,1486.62,500.0,60+
oui,bac+2,regions_industrielles,non,3480,divorcé,3.0,0.86,,10000.0,17264.275901828485,30-44
non,aucun,regions_touristiques_services,non,4463,marié,,0.15,747.0,,500.0,18-29
non,doctorat,region_parisienne,non,1668,divorcé,,0.83,514.0,1149.82,25390.88273988203,18-29
non,bac,regions_tertiaires,oui,974,,,0.18,,650.62,500.0,30-44
non,master,regions_tertiaires,oui,1993,divorcé,3.0,0.47,384.0,,1281.9229939424142,30-44
non,aucun,regions_tertiaires,oui,3359,célibataire,,0.58,,,500.0,45-59
oui,bac+2,Provence-Alpes-Côte d’Azur,oui,2863,,,0.34,,1064.25,4124.384923241231,18-29
non,bac,Provence-Alpes-Côte d’Azur,oui,2217,veuf,3.0,0.59,,5000.0,1703.2091550614111,45-59
oui,master,region_parisienne,oui,3603,marié,,0.34,,,18161.86602584039,30-44
non,doctorat,regions_touristiques_services,non,3097,marié,,0.83,,5000.0,500.0,60+
non,bac+2,regions_tertiaires,non,2140,célibataire,3.0,0.09,,798.03,500.0,30-44
non,bac,regions_industrielles,oui,2777,divorcé,,0.32,358.0,1172.07,500.0,60+
non,master,Provence-Alpes-Côte d’Azur,non,1075,,3.0,0.41,,10000.0,10667.772211678155,45-59
non,aucun,regions_tertiaires,non,3619,,1.0,0.43,,10000.0,13279.43790734672,30-44
oui,bac+2,regions_touristiques_services,non,2597,veuf,1.0,0.3,,1552.97,14865.32774958236,30-44
oui,aucun,regions_touristiques_services,non,3152,célibataire,2.0,0.88,,,2426.265552876417,18-29
non,aucun,regions_tertiaires,non,3243,célibataire,,0.56,483.0,522.19,500.0,18-29
oui,doctorat,regions_tertiaires,oui,1484,,,0.25,486.0,5000.0,17717.330429437272,45-59
oui,bac+2,regions_touristiques_services,non,1797,divorcé,3.0,0.31,,283.86,10146.957094539635,30-44
non,bac+2,regions_touristiques_services,oui,2986,divorcé,0.0,0.74,,5000.0,11837.808210233152,60+
oui,aucun,regions_tertiaires,non,1930,marié,3.0,0.32,599.0,948.83,10379.81877962131,18-29
non,aucun,regions_touristiques_services,non,4771,veuf,0.0,0.47,630.0,,19719.5017886146,60+
non,aucun,regions_touristiques_services,non,2600,marié,2.0,0.26,,10000.0,500.0,45-59
non,bac+2,regions_tertiaires,non,1878,divorcé,,0.93,,,500.0,18-29
non,bac+2,regions_touristiques_services,non,4778,célibataire,0.0,0.64,614.0,5000.0,8980.312053464007,60+
oui,bac,region_parisienne,oui,2248,célibataire,0.0,0.02,,10000.0,500.0,60+
non,bac,regions_industrielles,oui,3039,,,0.92,,883.63,500.0,30-44
non,bac,region_parisienne,oui,1899,veuf,5.0,0.11,342.0,,500.0,30-44
non,aucun,region_parisienne,oui,3230,célibataire,,0.31,,10000.0,500.0,30-44
oui,aucun,region_parisienne,non,3789,divorcé,,0.68,377.0,,18509.20677497533,45-59
oui,bac,regions_touristiques_services,non,4207,célibataire,1.0,0.78,718.0,,21549.82401911197,45-59
oui,bac,region_parisienne,oui,1435,célibataire,,0.24,304.0,,500.0,60+
non,master,regions_touristiques_services,non,1861,,,0.78,,5000.0,500.0,30-44
oui,bac+2,regions_touristiques_services,oui,1998,divorcé,3.0,0.59,774.0,,500.0,60+
oui,doctorat,regions_tertiaires,oui,602,veuf,4.0,0.35,,10000.0,5428.047793885788,45-59
oui,master,regions_tertiaires,oui,3474,célibataire,4.0,0.71,496.0,1278.27,16752.789752354092,30-44
non,doctorat,regions_tertiaires,non,1908,marié,5.0,0.47,318.0,5000.0,20423.84320730014,45-59
non,doctorat,regions_touristiques_services,oui,1176,marié,0.0,0.32,,,500.0,45-59
non,aucun,regions_industrielles,oui,3112,divorcé,,0.7,822.0,623.38,500.0,30-44
oui,master,Provence-Alpes-Côte d’Azur,non,2377,veuf,,0.44,646.0,5000.0,18901.259369115334,30-44
oui,doctorat,region_parisienne,oui,4010,veuf,2.0,0.57,,10000.0,40137.50246898064,45-59
oui,bac,Provence-Alpes-Côte d’Azur,oui,2448,veuf,,0.33,,10000.0,500.0,45-59
non,bac+2,region_parisienne,oui,4319,célibataire,5.0,0.08,,,500.0,30-44
oui,bac+2,regions_touristiques_services,non,4897,veuf,0.0,0.27,768.0,10000.0,35962.04802835945,30-44
non,bac,Provence-Alpes-Côte d’Azur,non,4231,marié,2.0,0.06,,5000.0,500.0,30-44
non,doctorat,regions_tertiaires,oui,2261,,,0.73,762.0,734.6,24528.671120857394,60+
non,aucun,regions_industrielles,oui,645,veuf,4.0,0.03,818.0,10000.0,500.0,18-29
oui,master,Provence-Alpes-Côte d’Azur,non,3191,veuf,,0.74,,10000.0,3639.7413556351794,18-29
non,master,regions_tertiaires,non,2452,marié,4.0,0.49,380.0,,500.0,60+
oui,master,region_parisienne,non,2571,,2.0,0.41,,10000.0,33049.468422152735,45-59
non,bac+2,regions_industrielles,non,4154,célibataire,,0.76,,5000.0,10656.8885958248,30-44
oui,bac+2,regions_touristiques_services,non,969,marié,,0.02,,731.72,500.0,18-29
non,bac,region_parisienne,oui,3121,célibataire,1.0,0.72,701.0,5000.0,7051.1771065952,18-29
non,master,regions_touristiques_services,non,3384,divorcé,,0.65,630.0,10000.0,500.0,18-29
oui,aucun,regions_touristiques_services,non,2285,célibataire,1.0,0.21,792.0,10000.0,2724.919805153449,60+
oui,doctorat,regions_touristiques_services,oui,2483,,2.0,0.99,666.0,33.29,26282.620988748466,18-29
non,bac,regions_industrielles,non,2466,veuf,,0.16,801.0,,5070.610961595275,60+
oui,doctorat,regions_tertiaires,non,2684,veuf,,0.78,,5000.0,15080.08702060483,60+
oui,aucun,regions_industrielles,non,4243,veuf,2.0,0.02,359.0,10000.0,14306.900020371317,30-44
non,bac,regions_touristiques_services,non,2265,,,0.22,,10000.0,6693.74203294808,30-44
oui,master,Provence-Alpes-Côte d’Azur,oui,3055,célibataire,,0.35,385.0,,1798.0125221383746,18-29
oui,doctorat,region_parisienne,non,1203,,,0.38,,,10497.778053549608,30-44
non,aucun,regions_touristiques_services,oui,4340,célibataire,2.0,0.7,698.0,1004.67,500.0,60+
non,aucun,regions_touristiques_services,non,1676,marié,,0.04,657.0,10000.0,500.0,18-29
oui,bac+2,regions_tertiaires,oui,531,divorcé,1.0,0.96,,,500.0,18-29
non,bac+2,regions_tertiaires,oui,1733,,,0.64,,1411.64,6372.475344505444,18-29
oui,bac,region_parisienne,non,2743,divorcé,5.0,0.49,,,16741.9804046619,30-44
oui,doctorat,regions_touristiques_services,non,500,veuf,2.0,0.23,,,14504.604268333092,18-29
non,bac+2,regions_touristiques_services,non,1711,veuf,5.0,0.53,,,500.0,45-59
oui,bac+2,regions_touristiques_services,oui,3193,,,0.07,,,17151.38822035942,18-29
non,doctorat,regions_industrielles,oui,3498,marié,,0.86,335.0,459.59,12032.654325077505,45-59
oui,bac+2,regions_touristiques_services,non,1882,veuf,5.0,0.2,,,28685.37160497041,30-44
non,bac,regions_industrielles,oui,1084,veuf,4.0,0.98,820.0,10000.0,500.0,30-44
non,master,regions_industrielles,non,2345,veuf,,0.86,346.0,,500.0,60+
non,aucun,regions_touristiques_services,non,2740,divorcé,4.0,0.1,486.0,773.51,6726.144540197254,30-44
oui,aucun,regions_tertiaires,oui,1704,divorcé,,0.3,,5000.0,500.0,45-59
non,aucun,regions_touristiques_services,oui,871,veuf,,0.47,706.0,,500.0,45-59
non,master,regions_industrielles,non,2589,veuf,,0.7,,,20212.703427559845,60+
non,doctorat,regions_touristiques_services,oui,1127,marié,,0.22,830.0,,5504.582746306162,45-59
non,master,regions_industrielles,non,1526,,,0.49,359.0,,8878.890939012841,60+
non,bac,regions_tertiaires,non,1797,divorcé,1.0,0.04,595.0,546.16,500.0,18-29
non,aucun,regions_touristiques_services,oui,2165,marié,1.0,0.84,846.0,887.1,500.0,30-44
non,bac+2,Provence-Alpes-Côte d’Azur,oui,2676,célibataire,,0.46,,5000.0,10124.44495985712,60+
non,master,regions_tertiaires,oui,2107,divorcé,5.0,0.84,,688.7,8921.973730630438,60+
non,doctorat,regions_touristiques_services,oui,2063,divorcé,,0.38,,854.72,6035.446018551712,30-44
oui,master,regions_tertiaires,oui,1290,divorcé,5.0,0.49,331.0,10000.0,8255.660172817976,45-59
non,aucun,regions_tertiaires,non,1313,divorcé,,0.85,805.0,1260.4,5083.612822428259,60+
non,aucun,regions_tertiaires,oui,1029,marié,3.0,0.52,,10000.0,500.0,45-59
oui,aucun,regions_touristiques_services,non,2362,divorcé,4.0,0.39,491.0,5000.0,500.0,60+
oui,aucun,regions_touristiques_services,oui,3735,divorcé,,0.4,,,500.0,60+
non,bac,region_parisienne,non,2379,marié,,0.21,487.0,,500.0,30-44
non,master,regions_touristiques_services,non,2170,célibataire,,0.15,,902.3,16629.25199108691,60+
oui,master,Provence-Alpes-Côte d’Azur,oui,5826,marié,5.0,0.62,,,29125.10607760429,60+
oui,doctorat,regions_industrielles,non,3353,,,0.86,,,29651.483306242997,45-59
non,doctorat,regions_touristiques_services,oui,1599,,,0.35,,5000.0,500.0,30-44
oui,doctorat,region_parisienne,non,1814,divorcé,,0.07,,,38558.79613385785,30-44
oui,bac+2,regions_industrielles,oui,609,célibataire,3.0,1.0,,723.68,500.0,18-29
oui,bac,regions_touristiques_services,oui,3332,célibataire,5.0,0.03,660.0,,14791.054255033709,18-29
non,doctorat,regions_tertiaires,non,2204,,,0.81,,5000.0,24690.30817151772,45-59
oui,aucun,regions_touristiques_services,non,3099,divorcé,2.0,0.73,,,14232.322333697375,30-44
non,doctorat,regions_touristiques_services,oui,1771,,0.0,0.09,301.0,5000.0,500.0,45-59
non,master,regions_tertiaires,non,5431,veuf,,0.29,505.0,5000.0,27702.156529405507,18-29
non,doctorat,region_parisienne,non,2979,veuf,4.0,0.56,376.0,,30331.9324936551,60+
oui,aucun,Provence-Alpes-Côte d’Azur,oui,3192,veuf,,0.35,,621.78,500.0,45-59
non,bac+2,regions_tertiaires,non,3877,divorcé,4.0,0.69,,780.64,26198.455079027182,45-59
oui,master,Provence-Alpes-Côte d’Azur,oui,2128,célibataire,,0.18,,,500.0,60+
oui,aucun,region_parisienne,non,1772,divorcé,3.0,0.42,,10000.0,12454.328982490384,18-29
oui,bac,region_parisienne,non,5181,veuf,4.0,0.56,,10000.0,14858.463980839962,60+
oui,bac+2,regions_tertiaires,oui,3746,,,0.73,,1002.34,16415.71124195981,60+
oui,master,regions_tertiaires,oui,2952,célibataire,0.0,0.03,630.0,1101.41,24462.730419394706,45-59
oui,aucun,Provence-Alpes-Côte d’Azur,oui,500,célibataire,3.0,0.38,,672.52,500.0,45-59
non,bac+2,Provence-Alpes-Côte d’Azur,non,500,célibataire,2.0,0.2,,921.64,500.0,18-29
oui,doctorat,regions_tertiaires,non,1863,marié,4.0,0.92,,,14449.054890309168,30-44
oui,aucun,regions_tertiaires,oui,1363,marié,4.0,0.44,,10000.0,500.0,45-59
oui,bac,regions_industrielles,oui,3806,,,0.29,,,500.0,60+
non,bac,region_parisienne,non,951,célibataire,,0.35,329.0,5000.0,500.0,60+
non,aucun,regions_tertiaires,non,500,,,0.26,,10000.0,500.0,18-29
non,master,regions_industrielles,non,2612,célibataire,1.0,0.25,,1616.31,500.0,60+
non,aucun,regions_touristiques_services,non,936,,2.0,0.28,,,500.0,60+
oui,master,regions_tertiaires,non,1251,marié,4.0,0.86,710.0,926.12,4878.545755190827,45-59
oui,bac+2,Provence-Alpes-Côte d’Azur,oui,614,veuf,5.0,0.95,,821.99,500.0,30-44
oui,doctorat,regions_touristiques_services,non,1899,,,0.31,312.0,1414.5,23223.68674933023,30-44
non,aucun,regions_touristiques_services,non,1541,marié,1.0,0.33,,,500.0,60+
oui,doctorat,regions_touristiques_services,non,1440,marié,,0.06,636.0,948.67,32053.702626437243,45-59
oui,aucun,regions_industrielles,non,4944,marié,1.0,0.92,,10000.0,500.0,45-59
non,doctorat,regions_tertiaires,oui,1103,marié,,0.69,,10000.0,500.0,30-44
non,bac+2,region_parisienne,oui,2002,divorcé,0.0,0.23,651.0,5000.0,9001.546015414096,30-44
oui,bac+2,Provence-Alpes-Côte d’Azur,oui,4216,divorcé,,0.29,476.0,10000.0,500.0,60+
non,master,Provence-Alpes-Côte d’Azur,oui,2582,marié,3.0,0.83,,5000.0,10903.397392817302,18-29
non,bac,regions_tertiaires,non,863,célibataire,,0.65,323.0,10000.0,500.0,60+
non,master,regions_touristiques_services,non,3895,,,0.61,,,3166.058998466729,18-29
oui,doctorat,region_parisienne,oui,500,marié,,0.92,796.0,548.48,24181.38134356665,60+
non,aucun,region_parisienne,oui,3318,,5.0,0.61,,10000.0,2720.813788949977,60+
non,master,regions_industrielles,non,500,marié,,0.5,,5000.0,500.0,45-59
oui,bac+2,region_parisienne,oui,1817,veuf,,0.15,301.0,10000.0,500.0,60+
non,doctorat,regions_tertiaires,oui,1224,divorcé,,0.23,,5000.0,11196.8709848394,18-29
oui,master,regions_industrielles,oui,2237,divorcé,,0.62,,10000.0,4057.591842683427,18-29
oui,doctorat,regions_industrielles,oui,3210,divorcé,,0.26,779.0,10000.0,30089.662669880072,30-44
oui,bac,region_parisienne,non,796,,3.0,0.88,,,10822.827044993295,18-29
oui,aucun,regions_touristiques_services,non,3885,divorcé,3.0,0.5,,10000.0,15757.66361823247,60+
oui,bac,regions_tertiaires,non,898,,,0.02,630.0,,500.0,45-59
non,aucun,regions_tertiaires,oui,3582,divorcé,5.0,0.12,,724.76,3735.658720627448,45-59
oui,bac+2,regions_tertiaires,non,2047,divorcé,,0.1,833.0,957.57,15966.5991061799,45-59
non,bac,regions_industrielles,non,3214,marié,,0.55,788.0,303.13,7056.806036648549,45-59
non,master,regions_tertiaires,oui,500,célibataire,0.0,0.14,,,500.0,45-59
oui,aucun,regions_touristiques_services,oui,3527,marié,5.0,0.03,,654.46,500.0,45-59
non,bac,regions_touristiques_services,oui,2450,,2.0,0.86,791.0,10000.0,500.0,18-29
oui,bac,regions_industrielles,oui,2893,célibataire,0.0,0.05,,793.96,500.0,18-29
non,bac,Provence-Alpes-Côte d’Azur,oui,4262,veuf,3.0,0.89,,10000.0,500.0,45-59
oui,doctorat,Provence-Alpes-Côte d’Azur,non,2926,veuf,,0.42,629.0,5000.0,35758.18072081153,45-59
non,master,regions_tertiaires,oui,2399,,5.0,0.01,818.0,5000.0,11737.23847284871,30-44
non,bac+2,regions_tertiaires,oui,1287,,2.0,0.63,800.0,10000.0,2814.1386162062663,60+
non,aucun,regions_industrielles,oui,1768,,2.0,0.71,830.0,,500.0,18-29
non,aucun,Provence-Alpes-Côte d’Azur,non,1559,,,0.79,,10000.0,500.0,18-29
non,bac+2,regions_tertiaires,oui,2632,divorcé,,0.57,,5000.0,11759.638243193413,60+
non,bac,regions_touristiques_services,non,2798,marié,,0.9,,656.99,14866.76807385541,60+
oui,bac+2,regions_touristiques_services,non,3409,,,0.87,,,18711.66358452964,60+
oui,aucun,regions_industrielles,oui,3130,marié,,0.82,731.0,,500.0,30-44
oui,master,regions_industrielles,non,1899,veuf,,0.41,496.0,5000.0,20814.697568663774,60+
non,bac,regions_touristiques_services,oui,3444,marié,,0.23,831.0,5000.0,500.0,18-29
oui,master,Provence-Alpes-Côte d’Azur,non,2603,veuf,,0.35,,10000.0,30210.987049606567,30-44
non,master,regions_tertiaires,non,3656,divorcé,,0.22,594.0,10000.0,3066.137791409429,60+
non,bac+2,regions_tertiaires,oui,4084,veuf,,0.52,748.0,10000.0,9573.778332032196,30-44
oui,aucun,regions_touristiques_services,oui,2306,divorcé,,0.23,849.0,10000.0,4554.810431805047,18-29
non,bac+2,regions_tertiaires,oui,2384,,,0.22,588.0,5000.0,6829.661938726994,45-59
non,doctorat,regions_tertiaires,oui,1713,divorcé,0.0,0.58,803.0,,500.0,18-29
non,aucun,regions_tertiaires,oui,1962,marié,1.0,0.7,363.0,10000.0,500.0,30-44
oui,doctorat,regions_tertiaires,non,2789,célibataire,4.0,0.64,,5000.0,29152.59717199099,30-44
oui,doctorat,regions_tertiaires,oui,3336,célibataire,,0.21,,5000.0,500.0,30-44
oui,master,regions_touristiques_services,non,2623,divorcé,2.0,0.54,562.0,10000.0,4383.465051415476,45-59
oui,master,region_parisienne,non,2699,célibataire,5.0,0.33,,,8620.740440969317,30-44
oui,aucun,regions_tertiaires,non,3059,divorcé,4.0,0.75,,5000.0,500.0,60+
oui,aucun,regions_industrielles,non,2360,divorcé,,0.87,349.0,10000.0,500.0,18-29
oui,doctorat,regions_tertiaires,oui,4971,divorcé,,0.36,,10000.0,25883.89703555264,30-44
non,bac+2,regions_touristiques_services,non,500,veuf,3.0,0.22,,10000.0,2571.4279977966503,18-29
oui,master,region_parisienne,oui,3485,célibataire,,0.78,500.0,5000.0,6950.691750123016,30-44
oui,bac,regions_tertiaires,oui,989,marié,2.0,0.26,843.0,,12906.990479801343,60+
oui,aucun,Provence-Alpes-Côte d’Azur,non,2538,,2.0,0.91,458.0,,21288.40814422946,30-44
non,bac,regions_industrielles,non,2830,,3.0,0.26,,805.29,7501.263720832778,18-29
oui,master,region_parisienne,oui,3583,veuf,0.0,0.39,,615.43,13702.678326689054,18-29
non,bac,regions_touristiques_services,oui,2107,veuf,,0.34,,5000.0,500.0,30-44
oui,aucun,regions_touristiques_services,non,4405,,,0.48,,853.79,500.0,30-44
oui,doctorat,regions_touristiques_services,oui,962,célibataire,5.0,0.87,,5000.0,14356.8655104378,45-59
oui,aucun,region_parisienne,non,3271,marié,5.0,0.22,,5000.0,17984.913231590494,60+
non,doctorat,regions_touristiques_services,oui,699,veuf,4.0,0.82,521.0,989.81,9786.53291738366,45-59
non,bac,regions_touristiques_services,non,4371,célibataire,,0.52,,5000.0,500.0,45-59
oui,doctorat,regions_industrielles,oui,1464,célibataire,5.0,0.76,391.0,420.05,500.0,30-44
