,age,sport_licence,niveau_etude,region,smoker,revenu_estime_mois,situation_familiale,risque_personnel,loyer_mensuel,montant_pret
27,22,non,aucun,Hauts-de-France,oui,900,marié,0.14,5175.89104031576,500.0
28,58,oui,bac,Provence-Alpes-Côte d’Azur,oui,3853,marié,0.4,10000.0,500.0
29,49,non,master,Provence-Alpes-Côte d’Azur,non,2203,marié,0.8,866.27,16750.901381517804
30,66,non,doctorat,Corse,non,1672,célibataire,0.12,5175.89104031576,500.0
31,71,non,master,Auvergne-Rhône-Alpes,non,2267,marié,0.12,10000.0,27822.25265661032
32,44,oui,aucun,Auvergne-Rhône-Alpes,non,2350,marié,0.08,10000.0,12238.402238366429
33,28,oui,master,Île-de-France,non,2182,marié,0.02,10000.0,18547.59442206578
34,33,oui,bac,Provence-Alpes-Côte d’Azur,oui,923,veuf,0.57,5175.89104031576,500.0
35,46,non,master,Hauts-de-France,oui,2214,marié,0.86,10000.0,500.0
36,52,non,bac,Corse,non,1959,marié,0.5,5000.0,500.0
37,30,non,bac,Occitanie,oui,2687,célibataire,0.65,5000.0,500.0
38,27,oui,aucun,Auvergne-Rhône-Alpes,non,1788,marié,0.9,10000.0,500.0
39,38,oui,master,Corse,non,2125,divorcé,0.93,10000.0,500.0
40,24,non,bac+2,Île-de-France,oui,1389,célibataire,0.6,793.17,1366.7152302536567
41,31,oui,aucun,Corse,oui,2850,marié,0.89,10000.0,500.0
42,30,oui,master,Corse,oui,1809,veuf,0.28,5000.0,500.0
43,24,oui,master,Auvergne-Rhône-Alpes,oui,4370,marié,0.15,10000.0,7915.101090898372
44,20,oui,master,Bretagne,oui,4778,marié,0.4,5175.89104031576,28396.908742389693
45,72,non,doctorat,Île-de-France,oui,725,veuf,0.8,10000.0,18632.93584235897
46,19,non,aucun,Île-de-France,oui,2124,célibataire,0.53,5000.0,500.0
47,49,non,bac,Normandie,non,3422,marié,0.6,5175.89104031576,14326.37709078331
48,47,non,bac,Hauts-de-France,oui,3838,marié,0.5,5000.0,500.0
49,29,oui,aucun,Hauts-de-France,oui,660,célibataire,0.64,5175.89104031576,500.0
50,64,non,master,Île-de-France,non,2071,veuf,0.6,10000.0,16528.519173978777
51,75,oui,aucun,Auvergne-Rhône-Alpes,oui,2714,marié,0.88,10000.0,4704.9737016730005
52,39,oui,bac,Occitanie,non,2783,veuf,0.83,577.66,12733.330382969947
53,60,non,bac,Auvergne-Rhône-Alpes,oui,1788,divorcé,0.56,5000.0,10540.674784050036
54,31,oui,master,Hauts-de-France,oui,2600,divorcé,0.98,5000.0,6156.501558240514
55,26,non,doctorat,Occitanie,oui,3008,célibataire,0.05,5175.89104031576,500.0
56,28,oui,bac+2,Provence-Alpes-Côte d’Azur,oui,500,célibataire,0.4,5000.0,500.0
57,21,oui,doctorat,Hauts-de-France,oui,3695,marié,0.17,5000.0,22775.8955135935
58,70,oui,doctorat,Hauts-de-France,oui,3304,marié,0.28,5000.0,8853.723228062805
59,42,oui,bac+2,Auvergne-Rhône-Alpes,oui,897,célibataire,0.05,5000.0,11778.343548052928
60,62,oui,master,Île-de-France,non,4278,célibataire,0.7,10000.0,31072.702663736723
61,37,non,master,Provence-Alpes-Côte d’Azur,non,3072,célibataire,0.56,5175.89104031576,21531.409941811824
62,34,non,aucun,Occitanie,oui,2537,divorcé,0.97,10000.0,500.0
63,37,non,master,Auvergne-Rhône-Alpes,non,4525,veuf,0.81,949.24,10946.391315339892
64,30,non,master,Bretagne,non,1295,veuf,0.52,5175.89104031576,500.0
65,75,oui,doctorat,Occitanie,oui,1859,célibataire,0.02,547.03,500.0
66,34,oui,bac+2,Hauts-de-France,oui,1566,célibataire,0.28,5175.89104031576,1992.4825524566772
67,55,oui,bac,Provence-Alpes-Côte d’Azur,oui,3929,marié,0.4,5175.89104031576,15002.912094814255
68,32,oui,aucun,Bretagne,oui,3770,divorcé,0.4,5175.89104031576,500.0
69,71,oui,aucun,Corse,oui,4747,marié,0.12,5000.0,500.0
70,44,non,master,Normandie,oui,3214,marié,0.82,5175.89104031576,10488.968596578909
71,70,oui,doctorat,Provence-Alpes-Côte d’Azur,oui,4602,divorcé,0.36,5175.89104031576,28770.26971420019
72,60,non,bac+2,Occitanie,non,3203,veuf,0.12,944.44,500.0
73,70,non,doctorat,Auvergne-Rhône-Alpes,non,3865,célibataire,0.52,1128.66,37282.162849122215
74,54,oui,aucun,Normandie,non,1851,marié,0.67,348.33,10767.439217607673
75,61,oui,master,Occitanie,non,1598,marié,0.39,10000.0,24759.669493278125
76,56,non,aucun,Bretagne,non,1770,veuf,0.83,185.52,4161.441442592443
77,33,oui,master,Bretagne,non,1083,marié,0.49,10000.0,20879.755904736496
78,63,non,doctorat,Hauts-de-France,oui,3127,marié,0.17,5000.0,14801.426364952236
79,33,oui,bac,Normandie,oui,3041,marié,0.66,627.58,11145.183005926978
80,34,oui,doctorat,Auvergne-Rhône-Alpes,oui,2741,divorcé,0.6,5175.89104031576,500.0
81,47,oui,doctorat,Bretagne,oui,3059,veuf,0.69,5175.89104031576,28698.200373046937
82,26,oui,aucun,Hauts-de-France,oui,2663,marié,0.51,748.46,500.0
83,46,non,doctorat,Occitanie,oui,3361,marié,0.65,10000.0,16872.53990370362
84,40,non,doctorat,Normandie,oui,2530,divorcé,0.7,10000.0,500.0
85,43,oui,doctorat,Occitanie,non,2660,veuf,0.53,926.62,37114.160550787055
86,55,oui,doctorat,Normandie,non,500,marié,0.97,559.26,29358.17769561137
87,18,oui,aucun,Auvergne-Rhône-Alpes,oui,2023,marié,0.89,1032.32,500.0
88,62,non,bac+2,Corse,non,904,marié,0.29,1065.43,6712.726721442828
89,45,non,doctorat,Île-de-France,non,568,veuf,0.51,10000.0,500.0
90,29,non,bac,Provence-Alpes-Côte d’Azur,oui,3624,veuf,0.21,1073.5,500.0
91,30,oui,master,Occitanie,non,2285,marié,0.07,5000.0,24341.03004691129
92,74,non,master,Île-de-France,oui,1823,veuf,0.26,5000.0,9958.305010076558
93,42,oui,aucun,Bretagne,non,2040,marié,0.29,10000.0,15699.8867602253
94,23,non,aucun,Occitanie,oui,1059,célibataire,0.72,-19.16,500.0
95,41,non,bac+2,Bretagne,non,2321,marié,0.53,5000.0,15785.751255071553
96,30,oui,master,Provence-Alpes-Côte d’Azur,oui,5481,divorcé,0.08,5000.0,22240.901666635506
97,23,oui,bac,Auvergne-Rhône-Alpes,oui,3627,veuf,0.77,5175.89104031576,500.0
98,74,non,bac+2,Provence-Alpes-Côte d’Azur,non,1216,divorcé,0.79,5000.0,11292.029477601953
99,22,oui,bac,Bretagne,oui,1731,divorcé,0.25,5000.0,4529.690297241665
100,71,non,aucun,Occitanie,non,4762,marié,0.03,1486.62,500.0
101,41,oui,bac+2,Hauts-de-France,non,3480,divorcé,0.86,10000.0,17264.275901828485
102,18,non,aucun,Auvergne-Rhône-Alpes,non,4463,marié,0.15,5175.89104031576,500.0
103,18,non,doctorat,Île-de-France,non,1668,divorcé,0.83,1149.82,25390.88273988203
104,36,non,bac,Bretagne,oui,974,marié,0.18,650.62,500.0
105,41,non,master,Bretagne,oui,1993,divorcé,0.47,5175.89104031576,1281.9229939424142
106,59,non,aucun,Normandie,oui,3359,célibataire,0.58,5175.89104031576,500.0
107,18,oui,bac+2,Provence-Alpes-Côte d’Azur,oui,2863,marié,0.34,1064.25,4124.384923241231
108,52,non,bac,Provence-Alpes-Côte d’Azur,oui,2217,veuf,0.59,5000.0,1703.2091550614111
109,44,oui,master,Île-de-France,oui,3603,marié,0.34,5175.89104031576,18161.86602584039
110,64,non,doctorat,Corse,non,3097,marié,0.83,5000.0,500.0
111,40,non,bac+2,Normandie,non,2140,célibataire,0.09,798.03,500.0
112,73,non,bac,Hauts-de-France,oui,2777,divorcé,0.32,1172.07,500.0
113,56,non,master,Provence-Alpes-Côte d’Azur,non,1075,marié,0.41,10000.0,10667.772211678155
114,36,non,aucun,Bretagne,non,3619,marié,0.43,10000.0,13279.43790734672
115,34,oui,bac+2,Corse,non,2597,veuf,0.3,1552.97,14865.32774958236
116,29,oui,aucun,Corse,non,3152,célibataire,0.88,5175.89104031576,2426.265552876417
117,25,non,aucun,Bretagne,non,3243,célibataire,0.56,522.19,500.0
118,59,oui,doctorat,Normandie,oui,1484,marié,0.25,5000.0,17717.330429437272
119,41,oui,bac+2,Corse,non,1797,divorcé,0.31,283.86,10146.957094539635
120,74,non,bac+2,Auvergne-Rhône-Alpes,oui,2986,divorcé,0.74,5000.0,11837.808210233152
121,24,oui,aucun,Bretagne,non,1930,marié,0.32,948.83,10379.81877962131
122,73,non,aucun,Auvergne-Rhône-Alpes,non,4771,veuf,0.47,5175.89104031576,19719.5017886146
123,60,non,aucun,Occitanie,non,2600,marié,0.26,10000.0,500.0
124,22,non,bac+2,Normandie,non,1878,divorcé,0.93,5175.89104031576,500.0
125,75,non,bac+2,Auvergne-Rhône-Alpes,non,4778,célibataire,0.64,5000.0,8980.312053464007
126,75,oui,bac,Île-de-France,oui,2248,célibataire,0.02,10000.0,500.0
127,41,non,bac,Hauts-de-France,oui,3039,marié,0.92,883.63,500.0
128,40,non,bac,Île-de-France,oui,1899,veuf,0.11,5175.89104031576,500.0
129,39,non,aucun,Île-de-France,oui,3230,célibataire,0.31,10000.0,500.0
130,47,oui,aucun,Île-de-France,non,3789,divorcé,0.68,5175.89104031576,18509.20677497533
131,57,oui,bac,Corse,non,4207,célibataire,0.78,5175.89104031576,21549.82401911197
132,69,oui,bac,Île-de-France,oui,1435,célibataire,0.24,5175.89104031576,500.0
133,32,non,master,Corse,non,1861,marié,0.78,5000.0,500.0
134,74,oui,bac+2,Occitanie,oui,1998,divorcé,0.59,5175.89104031576,500.0
135,55,oui,doctorat,Normandie,oui,602,veuf,0.35,10000.0,5428.047793885788
136,40,oui,master,Normandie,oui,3474,célibataire,0.71,1278.27,16752.789752354092
137,56,non,doctorat,Bretagne,non,1908,marié,0.47,5000.0,20423.84320730014
138,57,non,doctorat,Corse,oui,1176,marié,0.32,5175.89104031576,500.0
139,38,non,aucun,Hauts-de-France,oui,3112,divorcé,0.7,623.38,500.0
140,33,oui,master,Provence-Alpes-Côte d’Azur,non,2377,veuf,0.44,5000.0,18901.259369115334
141,48,oui,doctorat,Île-de-France,oui,4010,veuf,0.57,10000.0,40137.50246898064
142,59,oui,bac,Provence-Alpes-Côte d’Azur,oui,2448,veuf,0.33,10000.0,500.0
143,41,non,bac+2,Île-de-France,oui,4319,célibataire,0.08,5175.89104031576,500.0
144,43,oui,bac+2,Auvergne-Rhône-Alpes,non,4897,veuf,0.27,10000.0,35962.04802835945
145,45,non,bac,Provence-Alpes-Côte d’Azur,non,4231,marié,0.06,5000.0,500.0
146,61,non,doctorat,Normandie,oui,2261,marié,0.73,734.6,24528.671120857394
147,21,non,aucun,Hauts-de-France,oui,645,veuf,0.03,10000.0,500.0
148,22,oui,master,Provence-Alpes-Côte d’Azur,non,3191,veuf,0.74,10000.0,3639.7413556351794
149,75,non,master,Bretagne,non,2452,marié,0.49,5175.89104031576,500.0
150,60,oui,master,Île-de-France,non,2571,marié,0.41,10000.0,33049.468422152735
151,44,non,bac+2,Hauts-de-France,non,4154,célibataire,0.76,5000.0,10656.8885958248
152,21,oui,bac+2,Occitanie,non,969,marié,0.02,731.72,500.0
153,29,non,bac,Île-de-France,oui,3121,célibataire,0.72,5000.0,7051.1771065952
154,25,non,master,Occitanie,non,3384,divorcé,0.65,10000.0,500.0
155,68,oui,aucun,Auvergne-Rhône-Alpes,non,2285,célibataire,0.21,10000.0,2724.919805153449
156,27,oui,doctorat,Auvergne-Rhône-Alpes,oui,2483,marié,0.99,33.29,26282.620988748466
157,72,non,bac,Hauts-de-France,non,2466,veuf,0.16,5175.89104031576,5070.610961595275
158,72,oui,doctorat,Bretagne,non,2684,veuf,0.78,5000.0,15080.08702060483
159,35,oui,aucun,Hauts-de-France,non,4243,veuf,0.02,10000.0,14306.900020371317
160,44,non,bac,Occitanie,non,2265,marié,0.22,10000.0,6693.74203294808
161,23,oui,master,Provence-Alpes-Côte d’Azur,oui,3055,célibataire,0.35,5175.89104031576,1798.0125221383746
162,42,oui,doctorat,Île-de-France,non,1203,marié,0.38,5175.89104031576,10497.778053549608
163,62,non,aucun,Corse,oui,4340,célibataire,0.7,1004.67,500.0
164,23,non,aucun,Corse,non,1676,marié,0.04,10000.0,500.0
165,23,oui,bac+2,Bretagne,oui,531,divorcé,0.96,5175.89104031576,500.0
166,22,non,bac+2,Bretagne,oui,1733,marié,0.64,1411.64,6372.475344505444
167,37,oui,bac,Île-de-France,non,2743,divorcé,0.49,5175.89104031576,16741.9804046619
168,27,oui,doctorat,Occitanie,non,500,veuf,0.23,5175.89104031576,14504.604268333092
169,49,non,bac+2,Corse,non,1711,veuf,0.53,5175.89104031576,500.0
170,27,oui,bac+2,Auvergne-Rhône-Alpes,oui,3193,marié,0.07,5175.89104031576,17151.38822035942
171,59,non,doctorat,Hauts-de-France,oui,3498,marié,0.86,459.59,12032.654325077505
172,41,oui,bac+2,Occitanie,non,1882,veuf,0.2,5175.89104031576,28685.37160497041
173,45,non,bac,Hauts-de-France,oui,1084,veuf,0.98,10000.0,500.0
174,73,non,master,Hauts-de-France,non,2345,veuf,0.86,5175.89104031576,500.0
175,43,non,aucun,Occitanie,non,2740,divorcé,0.1,773.51,6726.144540197254
176,60,oui,aucun,Bretagne,oui,1704,divorcé,0.3,5000.0,500.0
177,57,non,aucun,Auvergne-Rhône-Alpes,oui,871,veuf,0.47,5175.89104031576,500.0
178,64,non,master,Hauts-de-France,non,2589,veuf,0.7,5175.89104031576,20212.703427559845
179,49,non,doctorat,Corse,oui,1127,marié,0.22,5175.89104031576,5504.582746306162
180,68,non,master,Hauts-de-France,non,1526,marié,0.49,5175.89104031576,8878.890939012841
181,23,non,bac,Bretagne,non,1797,divorcé,0.04,546.16,500.0
182,40,non,aucun,Auvergne-Rhône-Alpes,oui,2165,marié,0.84,887.1,500.0
183,72,non,bac+2,Provence-Alpes-Côte d’Azur,oui,2676,célibataire,0.46,5000.0,10124.44495985712
184,68,non,master,Bretagne,oui,2107,divorcé,0.84,688.7,8921.973730630438
185,32,non,doctorat,Corse,oui,2063,divorcé,0.38,854.72,6035.446018551712
186,48,oui,master,Normandie,oui,1290,divorcé,0.49,10000.0,8255.660172817976
187,75,non,aucun,Bretagne,non,1313,divorcé,0.85,1260.4,5083.612822428259
188,57,non,aucun,Bretagne,oui,1029,marié,0.52,10000.0,500.0
189,75,oui,aucun,Occitanie,non,2362,divorcé,0.39,5000.0,500.0
190,62,oui,aucun,Corse,oui,3735,divorcé,0.4,5175.89104031576,500.0
191,37,non,bac,Île-de-France,non,2379,marié,0.21,5175.89104031576,500.0
192,63,non,master,Auvergne-Rhône-Alpes,non,2170,célibataire,0.15,902.3,16629.25199108691
193,70,oui,master,Provence-Alpes-Côte d’Azur,oui,5826,marié,0.62,5175.89104031576,29125.10607760429
194,51,oui,doctorat,Hauts-de-France,non,3353,marié,0.86,5175.89104031576,29651.483306242997
195,31,non,doctorat,Occitanie,oui,1599,marié,0.35,5000.0,500.0
196,31,oui,doctorat,Île-de-France,non,1814,divorcé,0.07,5175.89104031576,38558.79613385785
197,21,oui,bac+2,Hauts-de-France,oui,609,célibataire,1.0,723.68,500.0
198,20,oui,bac,Auvergne-Rhône-Alpes,oui,3332,célibataire,0.03,5175.89104031576,14791.054255033709
199,56,non,doctorat,Normandie,non,2204,marié,0.81,5000.0,24690.30817151772
200,42,oui,aucun,Auvergne-Rhône-Alpes,non,3099,divorcé,0.73,5175.89104031576,14232.322333697375
201,55,non,doctorat,Auvergne-Rhône-Alpes,oui,1771,marié,0.09,5000.0,500.0
202,25,non,master,Bretagne,non,5431,veuf,0.29,5000.0,27702.156529405507
203,67,non,doctorat,Île-de-France,non,2979,veuf,0.56,5175.89104031576,30331.9324936551
204,49,oui,aucun,Provence-Alpes-Côte d’Azur,oui,3192,veuf,0.35,621.78,500.0
205,47,non,bac+2,Bretagne,non,3877,divorcé,0.69,780.64,26198.455079027182
206,68,oui,master,Provence-Alpes-Côte d’Azur,oui,2128,célibataire,0.18,5175.89104031576,500.0
207,19,oui,aucun,Île-de-France,non,1772,divorcé,0.42,10000.0,12454.328982490384
208,65,oui,bac,Île-de-France,non,5181,veuf,0.56,10000.0,14858.463980839962
209,75,oui,bac+2,Normandie,oui,3746,marié,0.73,1002.34,16415.71124195981
210,53,oui,master,Normandie,oui,2952,célibataire,0.03,1101.41,24462.730419394706
211,59,oui,aucun,Provence-Alpes-Côte d’Azur,oui,500,célibataire,0.38,672.52,500.0
212,20,non,bac+2,Provence-Alpes-Côte d’Azur,non,500,célibataire,0.2,921.64,500.0
213,34,oui,doctorat,Normandie,non,1863,marié,0.92,5175.89104031576,14449.054890309168
214,54,oui,aucun,Bretagne,oui,1363,marié,0.44,10000.0,500.0
215,73,oui,bac,Hauts-de-France,oui,3806,marié,0.29,5175.89104031576,500.0
216,67,non,bac,Île-de-France,non,951,célibataire,0.35,5000.0,500.0
217,25,non,aucun,Normandie,non,500,marié,0.26,10000.0,500.0
218,66,non,master,Hauts-de-France,non,2612,célibataire,0.25,1616.31,500.0
219,69,non,aucun,Occitanie,non,936,marié,0.28,5175.89104031576,500.0
220,59,oui,master,Bretagne,non,1251,marié,0.86,926.12,4878.545755190827
221,35,oui,bac+2,Provence-Alpes-Côte d’Azur,oui,614,veuf,0.95,821.99,500.0
222,40,oui,doctorat,Occitanie,non,1899,marié,0.31,1414.5,23223.68674933023
223,64,non,aucun,Occitanie,non,1541,marié,0.33,5175.89104031576,500.0
224,55,oui,doctorat,Corse,non,1440,marié,0.06,948.67,32053.702626437243
225,51,oui,aucun,Hauts-de-France,non,4944,marié,0.92,10000.0,500.0
226,43,non,doctorat,Bretagne,oui,1103,marié,0.69,10000.0,500.0
227,36,non,bac+2,Île-de-France,oui,2002,divorcé,0.23,5000.0,9001.546015414096
228,72,oui,bac+2,Provence-Alpes-Côte d’Azur,oui,4216,divorcé,0.29,10000.0,500.0
229,23,non,master,Provence-Alpes-Côte d’Azur,oui,2582,marié,0.83,5000.0,10903.397392817302
230,67,non,bac,Normandie,non,863,célibataire,0.65,10000.0,500.0
231,26,non,master,Occitanie,non,3895,marié,0.61,5175.89104031576,3166.058998466729
232,70,oui,doctorat,Île-de-France,oui,500,marié,0.92,548.48,24181.38134356665
233,64,non,aucun,Île-de-France,oui,3318,marié,0.61,10000.0,2720.813788949977
234,49,non,master,Hauts-de-France,non,500,marié,0.5,5000.0,500.0
235,69,oui,bac+2,Île-de-France,oui,1817,veuf,0.15,10000.0,500.0
236,22,non,doctorat,Normandie,oui,1224,divorcé,0.23,5000.0,11196.8709848394
237,19,oui,master,Hauts-de-France,oui,2237,divorcé,0.62,10000.0,4057.591842683427
238,38,oui,doctorat,Hauts-de-France,oui,3210,divorcé,0.26,10000.0,30089.662669880072
239,22,oui,bac,Île-de-France,non,796,marié,0.88,5175.89104031576,10822.827044993295
240,63,oui,aucun,Occitanie,non,3885,divorcé,0.5,10000.0,15757.66361823247
241,56,oui,bac,Bretagne,non,898,marié,0.02,5175.89104031576,500.0
242,47,non,aucun,Bretagne,oui,3582,divorcé,0.12,724.76,3735.658720627448
243,46,oui,bac+2,Normandie,non,2047,divorcé,0.1,957.57,15966.5991061799
244,49,non,bac,Hauts-de-France,non,3214,marié,0.55,303.13,7056.806036648549
245,56,non,master,Normandie,oui,500,célibataire,0.14,5175.89104031576,500.0
246,51,oui,aucun,Corse,oui,3527,marié,0.03,654.46,500.0
247,22,non,bac,Occitanie,oui,2450,marié,0.86,10000.0,500.0
248,30,oui,bac,Hauts-de-France,oui,2893,célibataire,0.05,793.96,500.0
249,57,non,bac,Provence-Alpes-Côte d’Azur,oui,4262,veuf,0.89,10000.0,500.0
250,51,oui,doctorat,Provence-Alpes-Côte d’Azur,non,2926,veuf,0.42,5000.0,35758.18072081153
251,34,non,master,Normandie,oui,2399,marié,0.01,5000.0,11737.23847284871
252,71,non,bac+2,Bretagne,oui,1287,marié,0.63,10000.0,2814.1386162062663
253,28,non,aucun,Hauts-de-France,oui,1768,marié,0.71,5175.89104031576,500.0
254,20,non,aucun,Provence-Alpes-Côte d’Azur,non,1559,marié,0.79,10000.0,500.0
255,65,non,bac+2,Bretagne,oui,2632,divorcé,0.57,5000.0,11759.638243193413
256,63,non,bac,Auvergne-Rhône-Alpes,non,2798,marié,0.9,656.99,14866.76807385541
257,67,oui,bac+2,Occitanie,non,3409,marié,0.87,5175.89104031576,18711.66358452964
258,40,oui,aucun,Hauts-de-France,oui,3130,marié,0.82,5175.89104031576,500.0
259,74,oui,master,Hauts-de-France,non,1899,veuf,0.41,5000.0,20814.697568663774
260,21,non,bac,Auvergne-Rhône-Alpes,oui,3444,marié,0.23,5000.0,500.0
261,32,oui,master,Provence-Alpes-Côte d’Azur,non,2603,veuf,0.35,10000.0,30210.987049606567
262,75,non,master,Bretagne,non,3656,divorcé,0.22,10000.0,3066.137791409429
263,37,non,bac+2,Normandie,oui,4084,veuf,0.52,10000.0,9573.778332032196
264,24,oui,aucun,Occitanie,oui,2306,divorcé,0.23,10000.0,4554.810431805047
265,47,non,bac+2,Bretagne,oui,2384,marié,0.22,5000.0,6829.661938726994
266,23,non,doctorat,Bretagne,oui,1713,divorcé,0.58,5175.89104031576,500.0
267,44,non,aucun,Normandie,oui,1962,marié,0.7,10000.0,500.0
268,35,oui,doctorat,Bretagne,non,2789,célibataire,0.64,5000.0,29152.59717199099
269,40,oui,doctorat,Bretagne,oui,3336,célibataire,0.21,5000.0,500.0
270,57,oui,master,Auvergne-Rhône-Alpes,non,2623,divorcé,0.54,10000.0,4383.465051415476
271,41,oui,master,Île-de-France,non,2699,célibataire,0.33,5175.89104031576,8620.740440969317
272,68,oui,aucun,Bretagne,non,3059,divorcé,0.75,5000.0,500.0
273,23,oui,aucun,Hauts-de-France,non,2360,divorcé,0.87,10000.0,500.0
274,43,oui,doctorat,Normandie,oui,4971,divorcé,0.36,10000.0,25883.89703555264
275,21,non,bac+2,Occitanie,non,500,veuf,0.22,10000.0,2571.4279977966503
276,44,oui,master,Île-de-France,oui,3485,célibataire,0.78,5000.0,6950.691750123016
277,75,oui,bac,Bretagne,oui,989,marié,0.26,5175.89104031576,12906.990479801343
278,32,oui,aucun,Provence-Alpes-Côte d’Azur,non,2538,marié,0.91,5175.89104031576,21288.40814422946
279,30,non,bac,Hauts-de-France,non,2830,marié,0.26,805.29,7501.263720832778
280,23,oui,master,Île-de-France,oui,3583,veuf,0.39,615.43,13702.678326689054
281,35,non,bac,Auvergne-Rhône-Alpes,oui,2107,veuf,0.34,5000.0,500.0
282,32,oui,aucun,Corse,non,4405,marié,0.48,853.79,500.0
283,58,oui,doctorat,Occitanie,oui,962,célibataire,0.87,5000.0,14356.8655104378
284,62,oui,aucun,Île-de-France,non,3271,marié,0.22,5000.0,17984.913231590494
285,53,non,doctorat,Occitanie,oui,699,veuf,0.82,989.81,9786.53291738366
286,48,non,bac,Corse,non,4371,célibataire,0.52,5000.0,500.0
287,32,oui,doctorat,Hauts-de-France,oui,1464,célibataire,0.76,420.05,500.0
288,19,non,doctorat,Auvergne-Rhône-Alpes,oui,4022,marié,0.53,5175.89104031576,20399.31047104829
289,50,oui,bac,Hauts-de-France,non,2020,célibataire,0.08,718.47,500.0
290,39,non,master,Occitanie,non,5025,célibataire,0.38,10000.0,28688.895789414644
291,29,oui,doctorat,Occitanie,non,4116,marié,0.42,5000.0,32226.988031995694
292,58,non,doctorat,Provence-Alpes-Côte d’Azur,oui,3767,divorcé,0.32,5175.89104031576,500.0
293,68,oui,master,Provence-Alpes-Côte d’Azur,oui,3955,marié,0.94,933.28,10639.305587861045
294,39,non,doctorat,Provence-Alpes-Côte d’Azur,oui,1808,marié,0.76,766.8,5630.096497060186
295,31,non,doctorat,Corse,oui,2649,divorcé,0.03,10000.0,500.0
296,29,non,bac,Bretagne,non,2483,marié,0.71,10000.0,500.0
297,53,oui,aucun,Occitanie,non,1371,divorcé,0.94,1069.99,500.0
298,60,non,bac+2,Normandie,non,2340,marié,0.06,10000.0,15184.584884713417
299,45,non,master,Provence-Alpes-Côte d’Azur,non,2906,célibataire,0.44,1166.1,29132.162879314223
300,33,non,aucun,Normandie,non,6049,divorcé,0.42,519.12,15351.456734074622
301,26,non,doctorat,Hauts-de-France,non,1587,divorcé,0.73,5175.89104031576,500.0
302,23,oui,bac+2,Hauts-de-France,non,1513,veuf,0.65,5000.0,500.0
303,42,non,bac,Auvergne-Rhône-Alpes,non,2273,célibataire,0.51,5175.89104031576,11655.390877132537
304,45,oui,aucun,Provence-Alpes-Côte d’Azur,oui,3352,veuf,0.01,5000.0,500.0
305,52,oui,bac,Auvergne-Rhône-Alpes,oui,2962,célibataire,0.4,1042.69,500.0
306,26,oui,aucun,Île-de-France,non,3531,célibataire,0.4,622.09,8280.067769939777
307,52,non,master,Hauts-de-France,oui,2014,divorcé,0.29,5000.0,500.0
308,49,non,bac,Occitanie,oui,5607,divorcé,0.4,5175.89104031576,500.0
309,27,non,bac+2,Bretagne,non,2099,marié,0.38,5000.0,15284.764778404458
310,71,oui,bac,Bretagne,non,1534,veuf,0.05,10000.0,20138.50357849674
